Production Date,Dept,Line,Sub Line,Time,Shift,Waterfall,From Product,To Product,Cause Category,Cause,Total Time Mins,Freq,Comments
4/05/2020,2,6,0,13:30,Daytime,Operational Losses,1400338,,TFE,Low Solids,30,1,Seal Water
4/05/2020,2,6,0,15:25,Afternoon,Operational Losses,1400338,,TFE,Low Solids,10,2,Seal Water Fault
4/05/2020,2,6,0,15:45,Afternoon,Operational Losses,1400338,,TFE,Low Solids,10,1,Seal Water Fault
4/05/2020,2,6,0,18:00,Afternoon,Operational Losses,1400338,,TFE,Low Solids,10,1,Seal Water Fault
4/05/2020,2,6,0,20:10,Afternoon,Operational Losses,1400338,,TFE,Low Solids,15,1,Seal Water Fault
4/05/2020,2,6,0,21:00,Afternoon,Start & Finish production,1400338,,Shutdown,Daily Shutdown,60,1,
4/05/2020,2,6,0,22:00,Night,Sanitation,1400338,,Sanitation,Machine Sanitation  C I P,120,1,Full Cip Wash Ffte And Tfe
5/05/2020,2,6,0,0:00,Night,Operational Losses,1400339,,TFE,Thin Film Evaporation,40,4,Seal Water Fault Occurred After Cip And The Pressure Was Playing Up.
5/05/2020,2,6,0,0:40,Night,Change Over,1400338,1400339,Changeover,Changeover Product,20,1,
5/05/2020,2,6,0,1:00,Night,Start & Finish production,1400339,,Startup,Daily Startup,90,1,Building Up Solids
5/05/2020,2,6,0,3:45,Night,Operational Losses,1400339,,TFE,Low Solids,15,1,
5/05/2020,2,6,0,6:00,Daytime,Operational Losses,1400339,,TFE,Low Solids,18,1,Seal Water
5/05/2020,2,6,0,7:30,Daytime,Start & Finish production,1400340,,Shutdown,Daily Shutdown,30,1,
5/05/2020,2,6,0,8:45,Daytime,Start & Finish production,1400340,,Startup,Daily Startup,75,1,
5/05/2020,2,6,0,12:30,Daytime,Labour Management Losses,1400340,,Personnel,Waiting On Labour,90,1,Unable To Cover Separator Calling Sick For 1.5 Hours.
5/05/2020,2,6,0,14:00,Afternoon,Operational Losses,1400340,,Extract Vat,Waiting On Separators,60,1,Extract Vat Level
5/05/2020,2,6,0,15:00,Afternoon,Start & Finish production,1400340,,Startup,Daily Startup,25,1,
5/05/2020,2,6,0,17:05,Afternoon,Operational Losses,1400340,,TFE,Low Solids,15,1,Seal Water Fault ( Recorded On Tfe Seal Water Sheet )
5/05/2020,2,6,0,23:40,Night,Operational Losses,1400340,,TFE,Low Solids,28,1,Seal Water Fault ( Pressure )
6/05/2020,2,6,0,1:55,Night,Start & Finish production,1400340,,Shutdown,Daily Shutdown,35,1,Low Solids To Extract Tank
6/05/2020,2,6,0,2:30,Night,Sanitation,1400340,,Sanitation,Machine Sanitation  C I P,90,1,Quick Cip Wash
6/05/2020,2,6,0,4:00,Night,Start & Finish production,1400338,,Startup,Daily Startup,60,1,Building Up Solids Ffte And Tfe
6/05/2020,2,6,0,11:20,Daytime,Operational Losses,1400338,,TFE,Low Solids,22,1,Seal Water
7/05/2020,2,6,0,11:11,Daytime,Start & Finish production,1400338,,Shutdown,Daily Shutdown,44,1,
7/05/2020,2,6,0,11:55,Daytime,Sanitation,1400338,,Sanitation,Machine Sanitation  C I P,125,1,
7/05/2020,2,6,0,18:00,Afternoon,Start & Finish production,1400339,,Startup,Daily Startup,90,1,Building Up Solids Ffte And Tfe
7/05/2020,2,6,0,20:47,Afternoon,Operational Losses,1400339,,TFE,Low Solids,23,1,Tfe Pressure Flashing Red On 
8/05/2020,2,6,0,0:15,Night,Start & Finish production,1400339,,Shutdown,Daily Shutdown,45,1,Low Solids To Extract Tank
8/05/2020,2,6,0,1:00,Night,Start & Finish production,1400340,,Startup,Daily Startup,90,1,Building Up Solids
8/05/2020,2,6,0,2:50,Night,Operational Losses,1400340,,TFE,Thin Film Evaporation,28,1,The Seal Gadge Was Playing Around And Making Solids Not What Is Required For Drums So I Used The Vaccum To Fix Back To Place The Seal And Which Led To Dropping Solids And Building It Up Again Now The Seal Is Fixed In Its Place And My Current Tempurture Is Sitting At (76.5) (tfe) Which Is Helping The Seal Staying In Place And Giving Me The Solids Which Is Required.
8/05/2020,2,6,0,9:35,Daytime,Operational Losses,1400340,,TFE,Low Solids,20,1,Seal Water
8/05/2020,2,6,0,11:15,Daytime,Start & Finish production,1400340,,Shutdown,Daily Shutdown,45,1,
8/05/2020,2,6,0,12:00,Daytime,Operational Losses,1400338,,Extract Vat,Waiting On Separators,43,1,Waiting For High Level
8/05/2020,2,6,0,12:43,Daytime,Start & Finish production,1400338,,Startup,Daily Startup,77,1,A/s To Fill Drums
8/05/2020,2,6,0,21:33,Afternoon,Start & Finish production,1400338,,Shutdown,Weekly Shutdown,27,1,Weekend Shut Down.
8/05/2020,2,6,0,22:00,Night,Start & Finish production,1400338,,Shutdown,Weekly Shutdown,40,1,
8/05/2020,2,6,0,22:40,Night,Sanitation,1400338,,Sanitation,Machine Sanitation  C I P,100,1,
11/05/2020,2,6,0,6:00,Daytime,Start & Finish production,1400338,,Startup,Daily Startup,35,1,
11/05/2020,2,6,0,11:20,Daytime,Operational Losses,1400338,,TFE,Thin Film Evaporation,20,1,Seal Water Presure
11/05/2020,2,6,0,16:35,Afternoon,Operational Losses,1400338,,TFE,Low Solids,20,1,Tfe Seal Fault
12/05/2020,2,6,0,4:50,Night,Start & Finish production,1400338,,Shutdown,Daily Shutdown,60,1,
12/05/2020,2,6,0,5:50,Night,Sanitation,1400338,,Sanitation,Machine Sanitation  C I P,10,1,
12/05/2020,2,6,0,6:00,Daytime,Sanitation,1400338,,Sanitation,Machine Sanitation  C I P,100,1,Cip Ffte And Tfe
12/05/2020,2,6,0,7:40,Daytime,Operational Losses,1400339,,FFTE,Ffte Condenser Vaccum Fault,15,1,Ffte Condenser Sp Set At 50.0 C But Pv  Is Sitting At 51.6 C So Can Not Start Production Until Its At It Set Point.
12/05/2020,2,6,0,7:55,Daytime,Start & Finish production,1400339,,Startup,Daily Startup,75,1,Building Up Solids Ffte And Tfe . Thank You
12/05/2020,2,6,0,15:45,Afternoon,Start & Finish production,1400339,,Shutdown,Daily Shutdown,40,1,Low Solids To Extract Tank
12/05/2020,2,6,0,16:25,Afternoon,Start & Finish production,1400340,,Startup,Daily Startup,95,1,
13/05/2020,2,6,0,0:25,Night,Operational Losses,1400340,,TFE,Low Solids,20,1,Seal Water Fault
13/05/2020,2,6,0,4:00,Night,Start & Finish production,1400340,,Shutdown,Daily Shutdown,60,1,
13/05/2020,2,6,0,5:00,Night,Sanitation,1400340,,Sanitation,Machine Sanitation  C I P,60,1,
13/05/2020,2,6,0,6:00,Daytime,Sanitation,1400338,,Sanitation,Machine Sanitation  C I P,60,1,Cip Wash Ffte & Tfe
13/05/2020,2,6,0,9:30,Daytime,Start & Finish production,1400338,,Startup,Daily Startup,60,1,Building Solid
14/05/2020,2,6,0,18:30,Afternoon,Start & Finish production,1400338,,Shutdown,Daily Shutdown,55,1,
14/05/2020,2,6,0,19:25,Afternoon,Sanitation,1400338,,Sanitation,Machine Sanitation  C I P,115,1,
14/05/2020,2,6,0,21:20,Afternoon,Start & Finish production,1400340,,Startup,Daily Startup,40,1,
14/05/2020,2,6,0,22:35,Night,Operational Losses,1400340,,TFE,Low Solids,30,2,Seal Water Fault
15/05/2020,2,6,0,0:25,Night,Operational Losses,1400340,,TFE,Low Solids,20,2,Seal Water Fault
15/05/2020,2,6,0,3:15,Night,Operational Losses,1400340,,TFE,Low Solids,15,1,Seal Water Fault
15/05/2020,2,6,0,5:15,Night,Start & Finish production,1400340,,Shutdown,Daily Shutdown,45,1,
15/05/2020,2,6,0,6:00,Daytime,Start & Finish production,1400338,,Startup,Daily Startup,60,1,Building Solid
15/05/2020,2,6,0,21:15,Afternoon,Start & Finish production,1400338,,Shutdown,Daily Shutdown,45,1,Full Cip To Be Done On N/s
17/05/2020,2,6,0,22:00,Night,Start & Finish production,1400338,,Shutdown,Daily Shutdown,100,1,Start Up Tfe Etc For Cip Wash
17/05/2020,2,6,0,23:40,Night,Line delays,1400338,,Emergency,Fire Alarm Or Evacuation,35,1, Fire Team Ert Attended Boiler House Fire Alarm
18/05/2020,2,6,0,0:15,Night,Sanitation,1400338,,Sanitation,Machine Sanitation  C I P,192,1,
18/05/2020,2,6,0,3:27,Night,Start & Finish production,1400338,,Startup,Daily Startup,53,1,
18/05/2020,2,6,0,7:25,Daytime,Operational Losses,1400338,,TFE,Low Solids,40,2,Seal Water Fault
18/05/2020,2,6,0,13:30,Daytime,Operational Losses,1400338,,TFE,Low Solids,10,1,Seal Water Fault
18/05/2020,2,6,0,21:06,Afternoon,Operational Losses,1400338,,TFE,Low Solids,14,1,Seal Water Fault
18/05/2020,2,6,0,23:00,Night,Start & Finish production,1400338,,Shutdown,Daily Shutdown,55,1,
