VYP batch,Part,Set Time,FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Product out temperature,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV
102_2019_07_02,Yeast - BRN,2/07/2019 0:10,50,41.09,118.44,2186.05,67,-79.82,125,46.38,1.27,49.03,9407.91,48.16,59.18,66.49,67.23,49.03,119.64,2096.63,48.45,33.31,80,1942.93,0,64.92,1.13,125.03,64.79,44.61,70,-80.2
102_2019_07_02,Yeast - BRN,2/07/2019 0:10,50,41.09,118.44,2186.05,67,-79.82,125,46.38,1.27,49.03,9407.91,48.16,59.18,66.49,67.23,49.03,119.64,2096.63,48.45,33.31,80,1942.93,0,64.92,1.13,125.03,64.79,44.61,70,-80.2
102_2019_07_02,Yeast - BRN,2/07/2019 0:10,50,41.09,118.44,2186.05,67,-79.82,125,46.38,1.27,49.03,9407.91,48.16,59.18,66.49,67.23,49.03,119.64,2096.63,48.45,33.31,80,1942.93,0,64.92,1.13,125.03,64.79,44.61,70,-80.2
102_2019_07_02,Yeast - BRN,2/07/2019 0:10,50,41.09,118.44,2186.05,67,-79.82,125,46.38,1.27,49.03,9407.91,48.16,59.18,66.49,67.23,49.03,119.64,2096.63,48.45,33.31,80,1942.93,0,64.92,1.13,125.03,64.79,44.61,70,-80.2
102_2019_07_02,Yeast - BRN,2/07/2019 0:10,50,41.09,118.44,2186.05,67,-79.82,125,46.38,1.27,49.03,9407.91,48.16,59.18,66.49,67.23,49.03,119.64,2096.63,48.45,33.31,80,1942.93,0,64.92,1.13,125.03,64.79,44.61,70,-80.2
102_2019_07_02,Yeast - BRN,2/07/2019 0:10,50,41.09,118.44,2186.05,67,-79.82,125,46.38,1.27,49.03,9407.91,48.16,59.18,66.49,67.23,49.03,119.64,2096.63,48.45,33.31,80,1942.93,0,64.92,1.13,125.03,64.79,44.61,70,-80.2
102_2019_07_02,Yeast - BRN,2/07/2019 0:10,50,41.09,118.44,2186.05,67,-79.82,125,46.38,1.27,49.03,9407.91,48.16,59.18,66.49,67.23,49.03,119.64,2096.63,48.45,33.31,80,1942.93,0,64.92,1.13,125.03,64.79,44.61,70,-80.2
104_2019_07_02,Yeast - BRN,2/07/2019 1:39,50,41.09,118.44,2186.05,67,-79.82,125,31.73,1.28,48.74,9433.85,47.84,57.74,68.73,66.72,46.34,118.57,2096.63,47.87,31.26,80,1872.24,0,66.8,1.22,124.71,64.79,44.46,69,-80.56
104_2019_07_02,Yeast - BRN,2/07/2019 1:39,50,41.09,118.44,2186.05,67,-79.82,125,31.73,1.28,48.74,9433.85,47.84,57.74,68.73,66.72,46.34,118.57,2096.63,47.87,31.26,80,1872.24,0,66.8,1.22,124.71,64.79,44.46,69,-80.56
104_2019_07_02,Yeast - BRN,2/07/2019 1:39,50,41.09,118.44,2186.05,67,-79.82,125,31.73,1.28,48.74,9433.85,47.84,57.74,68.73,66.72,46.34,118.57,2096.63,47.87,31.26,80,1872.24,0,66.8,1.22,124.71,64.79,44.46,69,-80.56
