VYP batch,Part,Set Time,FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Product out temperature,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV
97_2019_07_01,Yeast - FMX,1/07/2019 7:59,50,41.09,105,2609.3,69,-64.92,120,22.2,0.79,50.61,10202.98,57.49,54.25,61.56,61.72,51.15,105.2,1661.48,45.34,27.73,80,3416.99,0,68.87,0.89,119.91,71.46,82.93,80,-64.72
97_2019_07_01,Yeast - FMX,1/07/2019 7:59,50,41.09,105,2609.3,69,-64.92,120,22.2,0.79,50.61,10202.98,57.49,54.25,61.56,61.72,51.15,105.2,1661.48,45.34,27.73,80,3416.99,0,68.87,0.89,119.91,71.46,82.93,80,-64.72
97_2019_07_01,Yeast - FMX,1/07/2019 7:59,50,41.09,105,2609.3,69,-64.92,120,22.2,0.79,50.61,10202.98,57.49,54.25,61.56,61.72,51.15,105.2,1661.48,45.34,27.73,80,3416.99,0,68.87,0.89,119.91,71.46,82.93,80,-64.72
97_2019_07_01,Yeast - FMX,1/07/2019 7:59,50,41.09,105,2609.3,69,-64.92,120,22.2,0.79,50.61,10202.98,57.49,54.25,61.56,61.72,51.15,105.2,1661.48,45.34,27.73,80,3416.99,0,68.87,0.89,119.91,71.46,82.93,80,-64.72
97_2019_07_01,Yeast - FMX,1/07/2019 7:59,50,41.09,105,2609.3,69,-64.92,120,22.2,0.79,50.61,10202.98,57.49,54.25,61.56,61.72,51.15,105.2,1661.48,45.34,27.73,80,3416.99,0,68.87,0.89,119.91,71.46,82.93,80,-64.72
97_2019_07_01,Yeast - FMX,1/07/2019 7:59,50,41.09,105,2609.3,69,-64.92,120,22.2,0.79,50.61,10202.98,57.49,54.25,61.56,61.72,51.15,105.2,1661.48,45.34,27.73,80,3416.99,0,68.87,0.89,119.91,71.46,82.93,80,-64.72
97_2019_07_01,Yeast - FMX,1/07/2019 7:59,50,41.09,105,2609.3,69,-64.92,120,22.2,0.79,50.61,10202.98,57.49,54.25,61.56,61.72,51.15,105.2,1661.48,45.34,27.73,80,3416.99,0,68.87,0.89,119.91,71.46,82.93,80,-64.72
97_2019_07_01,Yeast - FMX,1/07/2019 8:02,50,41.09,105,2609.3,69,-63.62,120,22.31,0.79,50.61,10202.98,47.39,54.25,61.56,61.72,51.37,105.91,1635.54,45.34,27.83,80,3455.9,0,68.87,0.89,119.91,71.46,82.86,81,-64.01
97_2019_07_01,Yeast - FMX,1/07/2019 8:13,50,41.09,105,2609.3,69,-58.44,120,22.2,0.79,50.61,10190.01,46.75,54.25,61.56,61.72,51.77,105.2,1590.79,45.34,27.59,80,3269.78,0,69.62,0.89,119.91,71.71,82.69,83,-59.77
97_2019_07_01,Yeast - FMX,1/07/2019 8:33,50,41.09,105,2609.3,69,-54.88,120,21.94,1.29,50.61,10209.47,57.07,54.25,61.56,61.72,52.69,103.45,1551.88,45.34,27.73,80,3865.76,0,69.62,0.89,119.91,74.53,82.49,85,-56.24
97_2019_07_01,Yeast - FMX,1/07/2019 8:44,50,41.09,105,2609.3,69,-51.05,120,22.13,1.29,50.61,10202.98,57.2,54.25,61.56,61.72,53.46,104.84,1512.97,45.34,27.66,80,3096.63,0,69.62,0.89,119.91,74.53,82.31,86,-52.7
97_2019_07_01,Yeast - FMX,1/07/2019 8:55,50,41.09,105,2609.3,69,-47.73,120,22.23,1.29,50.61,10202.98,51.56,54.25,61.56,61.72,53.85,104.84,1512.97,44.93,27.49,80,3878.08,0,69.62,0.89,119.91,74.53,82.19,88,-48.82
97_2019_07_01,Yeast - FMX,1/07/2019 9:04,50,41.09,12,2609.3,69,-47.73,120,22.04,1.29,53.7,10222.44,45.02,54.25,61.56,61.72,53.92,105.2,1507.13,44.93,27.46,80,1442.93,0,69.62,0.89,119.91,74.53,82.16,89,-47.43
97_2019_07_01,Yeast - FMX,1/07/2019 9:04,50,41.09,102,2609.3,69,-47.73,120,22.11,1.29,53.7,10215.95,57.97,54.25,61.56,61.72,53.85,70.99,1519.46,44.93,27.46,80,1455.9,0,69.62,0.89,119.91,74.53,82.16,89,-47.78
97_2019_07_01,Yeast - FMX,1/07/2019 9:04,50,41.09,102,2609.3,69,-46.71,120,22.55,1.29,53.7,10171.21,57.36,54.25,61.56,61.72,53.92,98.85,1507.13,45.22,27.42,80,1494.16,0,69.62,0.89,119.91,74.53,82.18,89,-47.78
97_2019_07_01,Yeast - FMX,1/07/2019 9:24,50,41.09,102,2609.3,69,-46.6,120,22.13,1.29,53.7,10215.95,58.51,54.25,61.56,61.72,54,102.02,1532.43,45.22,27.29,80,3621.92,0,69.1,0.89,119.91,77.68,82.13,89,-47.07
97_2019_07_01,Yeast - FMX,1/07/2019 9:33,50,41.09,102,2609.3,69,-43.25,120,23.08,1.29,54.08,10196.5,45.7,54.25,61.56,61.72,54,102.38,1512.97,45.44,27.12,80,3628.4,0,69.1,0.89,119.91,78.09,82.13,90,-44.25
98_2019_07_01,Yeast - FMX,1/07/2019 9:37,50,41.09,102,2609.3,69,-43.25,120,23.75,1.29,54.16,10196.5,47.84,54.25,61.56,61.72,54.08,102.02,1500.65,45.44,27.22,80,1487.68,0,69.1,1.21,119.91,78.09,82.09,90,-43.54
98_2019_07_01,Yeast - FMX,1/07/2019 9:37,50,41.09,102,2609.3,69,-43.25,120,23.75,1.29,54.16,10196.5,47.84,54.25,61.56,61.72,54.08,102.02,1500.65,45.44,27.22,80,1487.68,0,69.1,1.21,119.91,78.09,82.09,90,-43.54
