VYP batch,Part,Set Time,FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Product out temperature,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV
120_2019_07_04,Yeast - BRD,4/07/2019 17:31,50,39,100,2078.95,65,-80,120,47.57,1.23,32.46,9094.68,50.86,55.05,64.66,64.95,35.89,104.16,1968.87,46.72,26.11,80,1616.08,0,36.06,0.9,119.91,70.08,52.53,69,-77.74
120_2019_07_04,Yeast - BRD,4/07/2019 17:31,50,39,100,2078.95,65,-80,120,47.57,1.23,32.46,9094.68,50.86,55.05,64.66,64.95,35.89,104.16,1968.87,46.72,26.11,80,1616.08,0,36.06,0.9,119.91,70.08,52.53,69,-77.74
120_2019_07_04,Yeast - BRD,4/07/2019 17:31,50,39,100,2078.95,65,-80,120,47.57,1.23,32.46,9094.68,50.86,55.05,64.66,64.95,35.89,104.16,1968.87,46.72,26.11,80,1616.08,0,36.06,0.9,119.91,70.08,52.53,69,-77.74
120_2019_07_04,Yeast - BRD,4/07/2019 17:31,50,39,100,2078.95,65,-80,120,47.57,1.23,32.46,9094.68,50.86,55.05,64.66,64.95,35.89,104.16,1968.87,46.72,26.11,80,1616.08,0,36.06,0.9,119.91,70.08,52.53,69,-77.74
120_2019_07_04,Yeast - BRD,4/07/2019 17:31,50,39,100,2078.95,65,-80,120,47.57,1.23,32.46,9094.68,50.86,55.05,64.66,64.95,35.89,104.16,1968.87,46.72,26.11,80,1616.08,0,36.06,0.9,119.91,70.08,52.53,69,-77.74
120_2019_07_04,Yeast - BRD,4/07/2019 17:31,50,39,100,2078.95,65,-80,120,47.57,1.23,32.46,9094.68,50.86,55.05,64.66,64.95,35.89,104.16,1968.87,46.72,26.11,80,1616.08,0,36.06,0.9,119.91,70.08,52.53,69,-77.74
120_2019_07_04,Yeast - BRD,4/07/2019 17:31,50,39,100,2078.95,65,-80,120,47.57,1.23,32.46,9094.68,50.86,55.05,64.66,64.95,35.89,104.16,1968.87,46.72,26.11,80,1616.08,0,36.06,0.9,119.91,70.08,52.53,69,-77.74
120_2019_07_04,Yeast - BRD,4/07/2019 17:41,50,39,110,2078.95,65,-80,120,46.31,1.23,36.04,9088.2,57.32,55.05,64.66,64.95,36.34,104.16,1929.96,46.43,26.28,80,2442.93,0,42.15,0.9,120.23,65.85,56.16,67,-79.13
120_2019_07_04,Yeast - BRD,4/07/2019 17:47,50,39,110,2078.95,65,-80,120,45.96,1.22,36.04,9324.9,46.47,55.05,64.66,64.95,36.94,110.12,2032.43,46.43,26.52,80,2378.73,0,46.79,0.9,119.91,65.85,57.64,67,-79.85
120_2019_07_04,Yeast - BRD,4/07/2019 17:53,50,39,110,2078.95,51,-80,120,45.33,1.22,36.04,9324.9,46.5,55.05,64.66,64.95,37.23,109.44,2071.34,47.1,26.45,80,2359.27,0,46.79,0.9,119.91,65.85,56.97,67,-79.85
120_2019_07_04,Yeast - BRD,4/07/2019 17:54,50,39,110,2078.95,51,-74.2,120,45.09,1.22,36.04,9299.61,48.45,55.05,64.66,64.95,37.23,109.44,2032.43,47.1,26.45,80,1738,0,46.79,0.9,119.91,65.85,56.97,67,-79.85
120_2019_07_04,Yeast - BRD,4/07/2019 17:54,50,39,115,2078.95,51,-74.2,120,45.09,1.22,36.04,9286.64,48.45,55.05,64.66,64.95,37.31,109.8,2020.1,47.1,26.45,80,2372.24,0,46.79,0.9,120.23,65.47,56.88,68,-78.1
120_2019_07_04,Yeast - BRD,4/07/2019 17:56,50,39,115,2078.95,51,-79.99,120,45.06,1.22,37.53,9311.93,57.36,55.05,64.66,64.95,37.9,115.43,2083.66,47.94,26.28,80,2359.27,0,46.79,0.9,119.91,66.14,56.83,68,-79.13
120_2019_07_04,Yeast - BRD,4/07/2019 18:05,50,39,115,2078.95,55,-79.99,120,43.96,1.22,37.53,9293.13,48.61,55.05,64.66,64.95,40.97,115.43,2205.58,48.77,26.38,80,2083.66,0,50.57,0.9,120.23,64.85,53.53,68,-79.85
120_2019_07_04,Yeast - BRD,4/07/2019 18:08,50,39,105,2078.95,55,-79.99,120,44.12,1.22,37.53,9293.13,51.08,55.05,64.66,63.09,41.34,114.72,2013.62,48.77,26.82,80,1974.71,0,49.11,0.9,119.91,64.85,50.01,67,-79.49
7_2019_07_16,Yeast - BRN,16/07/2019 21:47,50,39,120,2415.38,65,-75,130,39.76,1.22,49.49,9395.59,48.71,48.58,66.84,60.53,48.06,120.71,2147.86,50.54,43,80,2077.17,0,58.75,1.16,129.83,66.07,45.84,76,-74.21
7_2019_07_16,Yeast - BRN,16/07/2019 21:47,50,39,120,2415.38,65,-75,130,39.76,1.22,49.49,9395.59,48.71,48.58,66.84,60.53,48.06,120.71,2147.86,50.54,43,80,2077.17,0,58.75,1.16,129.83,66.07,45.84,76,-74.21
7_2019_07_16,Yeast - BRN,16/07/2019 21:47,50,39,120,2415.38,65,-75,130,39.76,1.22,49.49,9395.59,48.71,48.58,66.84,60.53,48.06,120.71,2147.86,50.54,43,80,2077.17,0,58.75,1.16,129.83,66.07,45.84,76,-74.21
7_2019_07_16,Yeast - BRN,16/07/2019 21:47,50,39,120,2415.38,65,-75,130,39.76,1.22,49.49,9395.59,48.71,48.58,66.84,60.53,48.06,120.71,2147.86,50.54,43,80,2077.17,0,58.75,1.16,129.83,66.07,45.84,76,-74.21
7_2019_07_16,Yeast - BRN,16/07/2019 21:47,50,39,120,2415.38,65,-75,130,39.76,1.22,49.49,9395.59,48.71,48.58,66.84,60.53,48.06,120.71,2147.86,50.54,43,80,2077.17,0,58.75,1.16,129.83,66.07,45.84,76,-74.21
7_2019_07_16,Yeast - BRN,16/07/2019 21:47,50,39,120,2415.38,65,-75,130,39.76,1.22,49.49,9395.59,48.71,48.58,66.84,60.53,48.06,120.71,2147.86,50.54,43,80,2077.17,0,58.75,1.16,129.83,66.07,45.84,76,-74.21
7_2019_07_16,Yeast - BRN,16/07/2019 21:47,50,39,120,2415.38,65,-75,130,39.76,1.22,49.49,9395.59,48.71,48.58,66.84,60.53,48.06,120.71,2147.86,50.54,43,80,2077.17,0,58.75,1.16,129.83,66.07,45.84,76,-74.21
7_2019_07_16,Yeast - BRN,16/07/2019 22:02,50,39,117,2415.38,65,-75,130,38.22,1.22,49.49,9420.88,57.68,47.91,66.65,60.53,47.61,120,1769.78,47.65,41.32,80,1718.55,0,62.53,1.16,130.16,66.65,52.95,76,-73.86
7_2019_07_16,Yeast - BRN,16/07/2019 22:07,50,39,116,2415.38,65,-75,130,38.05,1.22,49.49,9427.37,47.94,47.91,66.65,60.53,47.61,116.83,1750.97,47.49,39.54,80,1731.52,0,62.53,1.16,130.16,66.65,55.99,76,-74.21
7_2019_07_16,Yeast - BRN,16/07/2019 22:07,50,39,115,2415.38,65,-75,130,38.04,1.22,49.49,9402.08,55.98,47.91,66.65,60.53,47.61,116.47,1648.51,47.43,39.5,80,2430.61,0,62.53,1.16,130.16,66.65,56.37,76,-74.21
7_2019_07_16,Yeast - BRN,16/07/2019 22:14,50,39,114,2415.38,65,-75,130,37.07,1.22,49.49,9420.88,57.65,47.91,66.65,60.53,47.24,115.08,1712.71,46.56,37.22,80,1648.51,0,62.53,1.16,130.16,66.65,64.36,76,-74.57
7_2019_07_16,Yeast - BRN,16/07/2019 22:54,50,39,114,2415.38,63,-75,130,35.43,1.22,44.4,9427.37,46.34,47.17,65.78,60.53,44.63,120.36,1712.71,46.05,31.56,80,1616.08,0,57.38,1.16,129.83,66.65,84.22,75,-73.18
7_2019_07_16,Yeast - BRN,16/07/2019 23:03,50,39,123,2415.38,63,-75,130,36.55,1.22,44.4,9382.62,56.52,47.17,65.78,61.68,45.23,121.07,1680.29,46.08,30.35,80,1610.25,0,57.38,1.16,129.83,66.65,84.05,75,-74.21
7_2019_07_16,Yeast - BRN,16/07/2019 23:10,50,39,123,2415.38,55,-75,130,36.57,1.22,44.4,9376.13,53.42,47.17,65.78,61.68,45.6,123.21,1673.8,46.08,30.66,80,2160.83,0,57.38,1.16,129.83,66.65,83.91,74,-73.86
7_2019_07_16,Yeast - BRN,16/07/2019 23:10,50,39,123,2415.38,65,-75,130,36.54,1.22,44.4,9414.4,46.72,47.17,65.78,61.68,45.6,122.85,1654.99,46.08,30.42,80,2116.08,0,57.38,1.16,129.83,66.65,83.93,74,-73.86
7_2019_07_16,Yeast - BRN,16/07/2019 23:14,50,39,123,2415.38,65,-75,120,36.95,1.22,44.4,9414.4,57.65,47.17,65.78,61.68,45.75,125.31,1667.32,46.3,30.45,80,2090.14,0,55.28,1.16,130.16,66.65,83.89,74,-73.5
7_2019_07_16,Yeast - BRN,16/07/2019 23:16,50,39,127,2415.38,65,-75,120,37.08,1.22,44.4,9389.11,56.72,47.17,65.78,61.68,45.75,124.96,1667.32,44.38,31.87,80,2051.88,0,55.28,1.16,120.23,66.65,83.87,74,-73.5
7_2019_07_16,Yeast - BRN,16/07/2019 23:30,50,39,135,2415.38,65,-75,120,38.25,1.22,44.4,9414.4,45.73,47.17,65.78,61.68,45.82,132.02,1661.48,45.86,30.59,80,1551.88,0,56.72,1.16,119.91,66.65,83.84,74,-73.5
7_2019_07_16,Yeast - BRN,16/07/2019 23:39,50,39,145,2415.38,65,-75,120,38.65,1.22,44.4,9395.59,49.48,47.17,65.78,61.68,45.97,134.84,1648.51,45.86,30.15,80,1558.37,0,56.72,1.16,119.91,66.65,82.82,74,-74.21
7_2019_07_16,Yeast - BRN,16/07/2019 23:44,50,39,145,2415.38,65,-78.19,120,39.16,1.22,44.4,9395.59,57.39,47.17,65.78,61.68,46.12,145.04,1667.32,45.66,30.32,80,1603.76,0,56.72,1.16,119.91,66.65,79.38,74,-73.86
7_2019_07_16,Yeast - BRN,16/07/2019 23:44,50,39,145,2415.38,65,-78.64,120,39.04,1.22,44.4,9395.59,57.39,47.17,65.78,61.68,46.12,145.04,1654.99,47.14,29.98,80,1564.85,0,56.72,1.16,119.91,66.65,79.21,74,-73.86
