Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Product out temperature,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,Hour,DayOfWeek,Month,FFTE Feed solids_deviation,FFTE Production solids_deviation,FFTE Steam pressure_deviation,TFE Out flow_deviation,TFE Production solids_deviation,TFE Vacuum pressure_deviation,TFE Steam pressure_deviation,Set Time_year,Set Time_month,Set Time_day,Set Time_dayofweek,Set Time_quarter,FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP
47.36,1.27,47.17,9293.13,49.12,64.72,64.21,64.89,47.17,116.11,1648.51,44.54,29.34,80,1474.71,0,69.71,0.98,125.03,69.82,83.52,78,-67.86,21,1,5,0.8800000000000026,-5.170000000000002,-0.1099999999999994,961.0,3.2900000000000063,-0.9699999999999988,-0.0300000000000011,2020,5,12,1,2,50.0,42.0,116.0,2435.71,73.0,-68.83,125.0
1.16,1.33,49.29,9933.85,39.8,42.17,59.89,45.12,49.13,119.64,2045.4,48.1,28.8,80,1891.7,0,70.3,1.2,119.91,68.7,82.3,74,-74.93,23,2,10,-14.799999999999995,-6.130000000000003,0.3599999999999994,1005.95,0.7000000000000028,-5.069999999999993,0.0900000000000034,2019,10,16,2,4,25.0,43.0,120.0,2897.65,71.0,-80.0,120.0
1.9,1.3,56.63,10055.77,38.87,50.69,61.46,29.26,57.25,110.48,1981.19,47.75,32.03,80,1878.73,0,71.95,1.24,119.91,64.34,81.53,75,-81.95,5,4,9,-13.869999999999996,-14.25,-0.480000000000004,1204.9899999999998,0.5499999999999972,-5.939999999999998,0.0900000000000034,2019,9,13,4,3,25.0,43.0,110.0,3083.72,72.5,-87.89,120.0
57.47,1.27,11.43,10183.53,32.17,57.32,67.61,67.58,20.79,118.93,2487.68,56.3,25.31,80,2801.56,0,-8.32,0.79,84.99,77.29,57.92,83,-45.29,0,2,4,17.83,22.21,1.0699999999999932,44.95000000000027,8.32,0.2899999999999991,0.0100000000000051,2020,4,1,2,2,50.0,43.0,120.0,2846.51,0.0,-45.0,85.0
35.73,1.33,48.23,10414.4,50.5,51.11,66.07,61.46,50.31,129.56,1827.5,46.37,29.41,80,1750.97,0,68.37,1.24,115.08,67.93,80.34,77,-68.22,2,3,2,-0.5,-7.310000000000002,0.4399999999999977,1095.5400000000002,0.6299999999999955,-0.2199999999999988,-0.0799999999999983,2020,2,13,3,1,50.0,43.0,130.0,2846.51,69.0,-68.44,115.0
68.65,1.07,46.71,9433.85,50.6,66.81,67.26,65.88,47.24,118.25,1718.55,44.8,30.32,80,1512.97,0,72.68,0.76,119.91,66.07,73.96,74,-74.93,4,1,5,-0.6000000000000014,-4.240000000000002,-0.25,891.6800000000001,-0.6800000000000068,-0.1999999999999886,0.0900000000000034,2020,5,5,1,2,50.0,43.0,118.0,2404.65,72.0,-75.13,120.0
50.37,1.49,41.94,9581.06,53.45,49.8,61.24,60.05,42.09,105.2,2225.03,49.51,30.22,80,2808.04,0,60.86,1.02,119.91,66.26,84.96,71,-79.49,12,1,7,-3.450000000000003,-3.0900000000000034,9.799999999999995,-472.1399999999999,2.140000000000001,-0.3500000000000085,0.0900000000000034,2019,7,16,1,3,50.0,39.0,115.0,2335.9,63.0,-79.84,120.0
54.66,1.1,41.86,9376.13,46.5,48.97,66.52,65.4,42.01,117.54,1917.64,45.41,30.69,80,2032.43,0,63.98,1.21,119.58,61.78,84.95,69,-80.2,23,3,7,3.5,0.990000000000002,0.8999999999999915,153.62000000000012,1.0200000000000031,-0.2800000000000011,0.4200000000000017,2019,7,18,3,3,50.0,43.0,118.44,2186.05,65.0,-80.48,120.0
45.18,1.05,44.4,9222.44,46.59,50.12,62.84,63.25,44.55,128.49,1776.26,46.88,28.8,80,1610.25,0,60.71,0.88,124.71,65.98,64.29,75,-71.75,6,3,11,3.4099999999999966,-3.4399999999999977,-0.4900000000000091,896.6599999999999,-0.7100000000000009,1.3700000000000043,0.2900000000000062,2019,11,7,3,4,50.0,41.11,128.0,2506.91,60.0,-70.38,125.0
32.98,1.3,42.81,10215.95,50.73,54.38,62.29,61.85,42.51,129.88,1904.67,50.69,29.75,80,2545.4,0,47.36,1.25,119.91,78.03,55.7,83,-42.47,14,2,2,-0.7299999999999969,0.490000000000002,0.1200000000000045,301.1100000000001,17.64,-33.59,0.0900000000000034,2020,2,19,2,1,50.0,43.0,130.0,2846.51,65.0,-76.06,120.0
