Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Product out temperature,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,Hour,DayOfWeek,Month,FFTE Feed solids_deviation,FFTE Production solids_deviation,FFTE Steam pressure_deviation,TFE Out flow_deviation,TFE Production solids_deviation,TFE Vacuum pressure_deviation,TFE Steam pressure_deviation,Set Time_year,Set Time_month,Set Time_day,Set Time_dayofweek,Set Time_quarter,FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP
1.96,1.28,29.62,9177.69,27.08,35.44,49.58,39.58,26.03,100.28,1680.29,46.18,30.05,80,4116.08,0,61.87,1.1,119.91,58.13,88.13,65,-83.74,20,3,10,-2.0799999999999983,15.47,-0.2800000000000011,-2304.03,-11.869999999999996,2.7099999999999937,0.0900000000000034,2019,10,3,3,4,25.0,41.5,100.0,1812.05,50.0,-81.03,120.0
61.1,1.3,57.33,10613.49,55.79,48.77,63.83,61.68,56.86,119.64,1622.57,45.22,31.23,80,1577.82,0,74.96,1.24,119.91,68.8,81.34,81,-68.58,20,2,11,-5.789999999999999,-13.86,-0.6400000000000006,1411.0200000000002,0.0400000000000062,-0.3500000000000085,0.0900000000000034,2019,11,13,2,4,50.0,43.0,119.0,2988.84,75.0,-68.93,120.0
62.31,1.27,46.49,9293.13,50.28,63.57,61.65,62.04,46.64,120.71,1378.73,42.52,30.25,80,2365.76,0,69.05,1.1,125.03,70.05,83.65,82,-59.05,14,3,4,-0.2800000000000011,-4.640000000000001,-0.7099999999999937,-372.9000000000003,-0.0499999999999971,0.6400000000000006,-0.0300000000000011,2020,4,30,3,2,50.0,42.0,120.0,1992.86,69.0,-58.41,125.0
56.46,1.05,44.7,9760.7,56.91,51.65,64.57,65.47,43.21,89.72,2218.55,49.35,31.09,80,2058.37,0,62.02,1.19,119.91,68.86,84.02,73,-78.81,5,1,7,-6.909999999999997,-4.210000000000001,0.2800000000000011,-818.3699999999999,-0.0200000000000031,-3.640000000000001,0.0900000000000034,2019,7,30,1,3,50.0,39.0,90.0,1240.0,62.0,-82.45,120.0
61.39,1.25,48.21,9619.33,50.63,47.78,61.97,62.58,47.61,90.07,2160.83,49.06,28.13,80,3974.06,0,60.65,0.87,119.91,64.02,83.3,70,-77.39,1,1,11,-0.6300000000000026,-5.609999999999999,-0.0699999999999931,-1294.5700000000002,1.3500000000000014,4.25,0.0900000000000034,2019,11,26,1,4,50.0,42.0,90.0,2679.49,62.0,-73.14,120.0
44.45,1.28,57.25,10414.4,50.28,48.04,65.68,62.72,57.01,95.0,1616.08,47.01,28.37,80,4058.37,0,69.47,0.67,119.91,78.67,81.31,91,-38.26,10,2,10,-0.2800000000000011,-14.009999999999998,-3.3400000000000034,-1045.81,-0.4699999999999988,1.8599999999999997,0.0900000000000034,2019,10,30,2,4,50.0,43.0,91.66,3012.56,69.0,-36.4,120.0
54.61,1.36,68.92,10209.47,56.72,52.26,70.14,62.93,70.94,117.18,1436.45,47.04,28.0,80,1616.08,0,70.6,1.24,65.11,75.08,77.93,89,-45.29,16,2,7,-6.719999999999999,-27.94,-2.180000000000007,1467.64,-0.5999999999999943,0.240000000000002,-10.11,2019,7,31,2,3,50.0,43.0,115.0,3083.72,70.0,-45.05,55.0
62.31,1.27,44.42,10324.9,50.21,46.26,62.74,56.08,44.42,142.06,1738.0,44.51,29.92,80,2269.78,0,67.0,1.21,125.03,63.09,71.58,69,-80.2,17,0,10,-0.2100000000000008,-1.4200000000000017,12.449999999999989,722.0999999999999,4.0,0.2000000000000028,-0.0300000000000011,2019,10,28,0,4,50.0,43.0,154.51,2991.88,71.0,-80.0,125.0
62.43,1.29,52.09,9991.57,49.86,61.33,75.27,61.85,52.56,108.73,1436.45,45.92,31.26,80,1597.28,0,86.01,1.32,100.03,78.28,79.77,94,-37.19,17,2,6,0.1400000000000005,-9.560000000000002,0.269999999999996,1486.4399999999998,-14.010000000000003,0.8200000000000003,-0.0300000000000011,2020,6,17,2,2,50.0,43.0,109.0,3083.72,72.0,-36.37,100.0
66.41,1.27,48.13,9376.13,56.49,51.46,68.41,67.2,47.31,120.71,1840.47,44.96,36.27,80,2462.39,0,43.68,1.18,52.3,55.02,35.97,70,-87.27,15,1,7,-6.490000000000002,-5.810000000000002,1.5300000000000011,-423.8399999999999,-3.18,24.36,67.7,2019,7,30,1,3,50.0,41.5,122.24,2038.55,40.5,-62.91,120.0
42.12,1.27,60.5,10234.76,49.64,47.17,64.15,64.05,60.5,55.16,1802.2,48.64,28.6,80,5531.13,0,76.23,1.18,84.99,77.29,80.48,87,-53.06,13,2,9,0.3599999999999994,-17.5,-0.1599999999999966,-2684.62,0.769999999999996,-1.769999999999996,0.0100000000000051,2019,9,4,2,3,50.0,43.0,55.0,2846.51,77.0,-54.83,85.0
58.46,1.26,35.39,10011.02,49.41,57.49,57.61,57.65,35.39,129.88,1731.52,45.66,29.98,80,1661.48,0,55.99,1.24,119.91,61.68,84.3,67,-80.2,22,0,4,0.5900000000000034,5.609999999999999,10.120000000000005,328.76,8.009999999999998,0.2000000000000028,0.0900000000000034,2020,4,27,0,2,50.0,41.0,140.0,1990.24,64.0,-80.0,120.0
61.5,1.33,49.54,10202.98,50.73,54.1,62.14,59.87,49.54,120.27,2116.08,48.93,29.31,80,2045.4,0,70.92,1.26,120.23,67.96,80.56,73,-72.82,16,2,3,-0.7299999999999969,-6.539999999999999,1.0200000000000102,563.9000000000001,0.0799999999999983,0.0099999999999909,-0.2300000000000039,2020,3,4,2,1,50.0,43.0,121.29,2609.3,71.0,-72.81,120.0
26.96,1.27,46.94,9311.93,69.98,54.54,55.24,45.25,47.61,109.44,1071.34,40.31,24.2,80,783.4,0,-7.14,1.24,119.91,78.57,14.89,82,-44.61,14,3,4,-19.980000000000004,-5.609999999999999,0.5600000000000023,1209.46,78.14,-0.3900000000000005,0.0900000000000034,2020,4,2,3,2,50.0,42.0,110.0,1992.86,71.0,-45.0,120.0
57.3,1.28,47.02,9407.91,47.36,50.71,62.54,62.7,48.36,110.12,1391.7,43.29,32.47,80,2795.07,0,62.17,0.89,125.36,63.61,83.17,71,-77.74,11,3,10,2.640000000000001,-7.859999999999999,-7.620000000000003,-269.1400000000003,0.8299999999999983,-2.230000000000004,-0.3599999999999994,2019,10,31,3,4,50.0,40.5,102.5,2525.93,63.0,-79.97,125.0
69.64,1.29,53.31,10177.04,56.56,50.69,62.96,63.51,53.23,89.36,1891.7,47.04,29.0,80,4077.17,0,72.47,1.23,119.91,66.46,82.36,77,-74.93,17,2,7,-6.560000000000002,-10.229999999999997,0.6400000000000006,-1467.87,0.5300000000000011,-1.7199999999999989,0.0900000000000034,2019,7,3,2,3,50.0,43.0,90.0,2609.3,73.0,-76.65,120.0
